id,Name,Consistent
95,Noirtier,contradict
136,Faria,consistent
59,Thalcave,consistent
60,Thalcave,consistent
124,Faria,consistent
111,Noirtier,consistent
135,Faria,consistent
27,Tom Ayrton/Ben Joyce,consistent
110,Noirtier,consistent
42,Tom Ayrton/Ben Joyce,contradict
56,Thalcave,consistent
80,Kai-Koumou,consistent
28,Tom Ayrton/Ben Joyce,contradict
101,Noirtier,consistent
91,Noirtier,contradict
24,Jacques Paganel,consistent
119,Faria,consistent
93,Noirtier,consistent
72,Kai-Koumou,consistent
16,Jacques Paganel,consistent
30,Tom Ayrton/Ben Joyce,contradict
97,Noirtier,consistent
22,Jacques Paganel,consistent
53,Thalcave,consistent
58,Thalcave,consistent
81,Kai-Koumou,consistent
47,Thalcave,consistent
7,Jacques Paganel,consistent
121,Faria,consistent
129,Faria,consistent
51,Thalcave,consistent
127,Faria,consistent
133,Faria,consistent
52,Thalcave,consistent
114,Faria,consistent
2,Jacques Paganel,consistent
33,Tom Ayrton/Ben Joyce,consistent
15,Jacques Paganel,consistent
82,Kai-Koumou,consistent
37,Tom Ayrton/Ben Joyce,consistent
3,Jacques Paganel,consistent
103,Noirtier,consistent
94,Noirtier,consistent
85,Kai-Koumou,consistent
21,Jacques Paganel,consistent
49,Thalcave,consistent
140,Faria,consistent
64,Thalcave,consistent
131,Faria,consistent
61,Thalcave,consistent
86,Kai-Koumou,consistent
38,Tom Ayrton/Ben Joyce,consistent
132,Faria,consistent
77,Kai-Koumou,consistent
70,Kai-Koumou,contradict
115,Faria,consistent
78,Kai-Koumou,consistent
87,Noirtier,consistent
75,Kai-Koumou,consistent
44,Tom Ayrton/Ben Joyce,consistent
